ind	href	item_name	value	extra_services
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Перешив бирок и составников, пошив одежды	от 30 ₽ за услугу	
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Изготовление автомобильных ключей	от 1 000 ₽ за услугу	Замена корпуса|от 2 000 ₽; Чип для автозапуска|от 2 000 ₽; Ещё 2 услуги
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ювелирная мастерская,изготовления-ремонт	от 200 ₽ за услугу	Изготовления ювелирных изделий|от 500 ₽ за ед.; Пайка|от 500 ₽; Ещё 14 услуг
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Заточка маникюрного инструмента/Ремонт аппаратов	от 100 ₽	
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Услуги кроя	от 100 ₽ за услугу	Изготовление лекал|от 500 ₽; Пошив одежды|от 300 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Швейное производство	от 300 ₽ за услугу	Пошив одежды|от 300 ₽; Изготовление лекал|от 3 000 ₽; Ещё 3 услуги
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт и перекрой одежды с Гарантией	от 100 ₽ за услугу	Ремонт одежды|49 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Цех по пошиву одежды	от 100 ₽ за услугу	пошив футболки|от 200 ₽; пошив худи|от 400 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Петли, пуговицы, закрепки, пояса	от 10 ₽ за услугу	Прямая петля|от 10 ₽ за ед.; Установка пуговицы|от 10 ₽ за ед.; Ещё 2 услуги
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Обручальные кольца	от 7 000 ₽ за услугу	
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Химчистка обуви и реставрация	от 500 ₽ за услугу	Химчистка обуви|от 500 ₽
