level_1_href	level_2	item_name	value
https://www.perekrestok.ru/cat/c/1038/pivo	Крафт	Пивной напиток Konix Belgian Dubbel пастеризованный, 500мл	124.99
https://www.perekrestok.ru/cat/c/1038/pivo	Крафт	Пивной напиток Konix Belgian Blonde Ale пастеризованный 6.1%, 500мл	124.99
https://www.perekrestok.ru/cat/c/1038/pivo	Крафт	Пиво Troll Brew IPA светлое нефильтрованное 7.8%, 330мл	99.99
https://www.perekrestok.ru/cat/c/1038/pivo	Крафт	Пиво Афанасий Крафтовое светлое 4.5%, 750мл	199.99
https://www.perekrestok.ru/cat/c/1038/pivo	Крафт	Пиво Bowler Ipa 6.1%, 500мл	179.99
https://www.perekrestok.ru/cat/c/1038/pivo	Крафт	Пиво Joy Party APA светлое пастеризованное 4.5%, 500мл	119.99
https://www.perekrestok.ru/cat/c/1038/pivo	Крафт	Пиво Joy Party IPA светлое пастеризованное 4%, 500мл	109.99
https://www.perekrestok.ru/cat/c/1038/pivo	Стаут, портер	Напиток пивной Волковская Пивоварня Chocolate Stout тёмный нефильтрованный 6,5%, 450мл	79.99
https://www.perekrestok.ru/cat/c/1038/pivo	Стаут, портер	Пивной напиток Ice Cream Porter Plombeer нефильтрованный осветленный пастеризованный 7%, 450мл	149.99
https://www.perekrestok.ru/cat/c/1038/pivo	Стаут, портер	Пивной напиток Ice Cream Porter Chocolate нефильтрованный осветленный пастеризованный 7%, 450мл	149.99
https://www.perekrestok.ru/cat/c/1038/pivo	Стаут, портер	Напиток пивной Gorkovskaya Brewery Hazelnut Porter Imagine The Future нефильтрованный 7%, 440мл	169.99
https://www.perekrestok.ru/cat/c/1038/pivo	Стаут, портер	Напиток пивной Young's Шоколадный Стаут 7%, 440мл	89.99
https://www.perekrestok.ru/cat/c/1038/pivo	Крик, ламбик	Напиток пивной Joy Party крик со вкусом вишни 4.5%, 450мл	99.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Жигули 1968 светлое фильтрованное 4.5%, 430мл	59.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Патронус Хевейссбир Хелл светлое нефильтрованное	84.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Amstel Фрэш светлое фильтрованное 4.2%, 450мл	69.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво D`atour Рояль Блонд светлое фильтрованное 6.2%, 500мл	134.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Ячменное Фирменное светлое фильтрованное 4%, 500мл	109.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Жигули Барное светлое 4.9%, 450мл	53.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Охота крепкое светлое фильтрованное 8.1%, 430мл	59.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Spaten Мюнхен светлое пастеризованное 5.2%, 450мл	114.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Bud светлое 5%, 450мл	69.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Жигулёвское светлое 4.6%, 1.5л	124.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Балтика №7 Экспортное светлое 5.4%, 450мл	59.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Старый Мельник из бочонка Мягкое светлое 4.3%, 450мл	65.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Хамовники Чешское светлое 3.7%, 450мл	69.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Krusovice светлое пастеризованное 4.2%, 430мл	65.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Stiegl Голдбрау светлое 5%, 500мл	149.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Paulaner Munchner Hell светлое 4.9%, 500мл	239.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Золотая Бочка светлое 4.7%, 450мл	59.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Чешское Домашнее светлое 3.2%, 1л	139.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Макарий марочное светлое фильтрованное пастеризованное, 500мл	79.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Хамовники Венское светлое 4.5%, 450мл	65.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Жигули Барное экспорт светлое фильтрованное 4.8%, 1.3л	129.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Bud светлое пастеризованное 5%, 440мл	69.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Дон Живое светлое 4%, 1л	109.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Хамовники Мюнхенское светлое фильтрованное 5.5%, 450мл	79.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Gosser светлое пастеризованное 4.7%, 430мл	59.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Prazacka Чешское классическое светлое 4%, 500мл	149.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво светлое Горьковская пивоварня Top Of The Mountans нефильтрованное осветлённое, 440мл	184.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Bakalar светлое фильтрованное пастеризованное 5.2%, 330мл	139.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Пивоваренный Завод Лысковский светлое фильтрованное 4.3%, 500мл	99.99
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Scotty West Lager светлое фильтрованное пастеризованное, 568мл	105.00
https://www.perekrestok.ru/cat/c/1038/pivo	Светлое	Пиво Tuborg Green Грин светлое 4.6%, 480мл	65.99
