lvl_url	item_name
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Captian Black"" Cherise"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Captian Black"" Classic"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Captian Black"" Dark Crema"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Captian Black"" Grape"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Captian Black"" White Crema"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Corsar"" Grape (105mm в тубе)"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Corsar"" Mojito (105mm в тубе)"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Corsar"" Виски (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Corsar"" Капучино (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Corsar"" Порто (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Corsar"" Ром (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Corsar"" Сладкая Вишня (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Corsar"" Спелая Вишня (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Handelsgold"" Cherry Red 1шт"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Handelsgold"" Chocolate Blue 1шт"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Marco Polo"" Capuccino"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Marco Polo"" Cherry"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Marco Polo"" Grape"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Marco Polo"" Vanilla"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Cafe Creme"" Arome"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Cafe Creme"" Blue"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Cafe Creme"" Coffee"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Cafe Creme"" Original"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Cafe Creme"" Vanilla"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Corsar"" Berry (105mm в тубе)"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Corsar"" Cherry (105mm в тубе)"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Corsar"" Classic (105mm в тубе)"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Corsar"" Honey (105mm в тубе)"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Corsar"" Vanilla (105mm в тубе)"
https://mytclub.ru/sigarilly/sigarilly/?page=1	"Сигариллы ""Corsar"" Ваниль (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Corsar"" Вишня (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Corsar"" Кофе (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Corsar"" Ориджинал (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Dakota"" Amber Rum (20шт пачка)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Dakota"" Amber Rum (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Dakota"" Capuccino (20штук пачка)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Dakota"" Capuccino (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Dakota"" Cherries (20штук пачка)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Dakota"" Cherries (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Dakota"" Dark Crema (20штук пачка)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Dakota"" Dark Crema (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Dakota"" Original (20штук пачка)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Dakota"" Original (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Dakota"" Vanilla (20штук пачка)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Dakota"" Vanilla (2шт блистер)"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Handelsgold"" Vanilla Blond 1шт"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Marco Polo"" Classic"
https://mytclub.ru/sigarilly/sigarilly/?page=2	"Сигариллы ""Marco Polo"" Peach"
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	"Kaloud ""Alpha"" B-53"
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	"Kaloud ""Aventador"""
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	"Kaloud ""Lotus"" две ручки"
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	"Kaloud ""Lotus"" одна ручка"
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Kaloud без коробки SY-5
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Ершик для колбы С-2
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Защитный экран для кальяна 10*20 в асс-те
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Колба для кальяна Daly в асс-те
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Колба для кальяна Vessel Glass Капля Mini
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Колба для кальяна Капля в асс-те
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Колпак для кальяна ESS 10*20
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Колпак для кальяна Tortuga
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Колпак для кальяна Vintage 02
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Мундштук одноразовый шт
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Печка (тостер) для углей TL-2 большая черная
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Плитка для розжига углей DALY Code
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	ТЭН для плитки DALY Code
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Фольга для кальяна толстая (нарезанная)
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Фольга для кальяна тонкая (нарезанная)
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	"Чаша для кальяна ""Облако"" в асс-те"
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Чаша для кальяна BLACK BASIC облако
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Чаша для кальяна Camelot
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Чаша для кальяна Coco Django (killer, phunnel)
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Чаша для кальяна Coco Django (mini lemon, orange)
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Чаша для кальяна Coco Django (turk)
https://mytclub.ru/kalyany/aksessuary-dlya-kalyanov/?page=1	Чаша для кальяна FOX Бочка
