brand_name	adress	lat	lon
Магнит	Тверская ул., 6, стр. 1, стр. 1, этаж -1	37.610681	55.760920
Магнит	Кудринская площадь, 1, стр. 1, этаж цокольный	37.580000	55.759288
Магнит	Большая Татарская ул., 36, эт. 1, пом. 1, ком. 1-4, 6-8, пом. 2, ком. 3-6, 11-14	37.634569	55.737826
Магнит	Большая Спасская ул., 6/1с1А, строен. 1А.., номера на поэтажном плане: — по 7,7а, этаж 1, помещение I, комната с 4	37.641466	55.774845
Магнит	ул. Красная Пресня, 24, этаж 1	37.570121	55.762027
Магнит	Верхняя ул., 3, корп. 2, корп. 2	37.575170	55.776505
Магнит	1-я Дубровская ул., 2Б, корп. 1, этаж 1	37.667945	55.729249
Магнит	Мукомольный пр., 9, корп. 1, ком.3-9,9а,10,15,16,17,26,26а	37.523068	55.753601
Магнит	Красногвардейский бул., 3, стр. 1, пом. 1, пом. 1, пом. 1	37.542921	55.758833
Магнит	Ленинский просп., 75А, кадастровый номер 77:06:0003006:4915	37.544181	55.686275
Магнит	ул. Годовикова, 2А	37.631293	55.803257
Магнит	просп. Маршала Жукова, 10, этаж 1	37.496563	55.776209
Магнит	3-й Хорошёвский пр., 10	37.537176	55.773778
Магнит	Петровско-Разумовский пр., 10, помещение I	37.569410	55.795177
Магнит	Петровско-Разумовский пр., 2	37.570148	55.792092
Магнит	Большая Переяславская ул., 11, стр. 1, нежилое помещение, расположенное на здания, этаж первом	37.641033	55.784639
Магнит	Энергетическая ул., 14, корп. 1, под, ком, этаж 1, помещение V, комната 1, 3-11, 14, 25-32, 35, помещение III	37.708751	55.759016
Магнит	Стрелецкая ул., 10	37.603611	55.795740
Магнит	ул. Косыгина, 1	37.576038	55.707515
Магнит	Ленинградский просп., 44	37.545919	55.795266
Магнит	ул. Зорге, 1, стр. 2, нежилое здание	37.511883	55.778203
Магнит	Фортунатовская ул., 20	37.738455	55.787357
Магнит	5-я Кожуховская ул., 10, антресоль № 1, подвал № 0, этаж № 1	37.667150	55.705141
Магнит	ул. Кравченко, 18	37.514733	55.679103
Магнит	ул. Симоновский Вал, 11/31	37.664322	55.724790
Магнит	ул. Петра Романова, 6	37.681029	55.708121
Магнит	Болотниковская ул., 47, корп. 1, помещение I, комната 1, 2, 3, 3а, 4, 4а, 4б, 5, 6, 6а, 7, 8, 8а, 9, 21, этаж 1	37.583458	55.662005
Магнит	ул. Куусинена, 19, корп. 1, этаж цокольный	37.512229	55.786421
Магнит	ул. Шумкина, 10, квартал 1387, этаж 1	37.665162	55.790273
Магнит	ул. Лобачика, 23, корп. 1, этаж цокольный, помещение 1, комната с1	37.665666	55.789544
Магнит	Дмитровское ш., 5, корп. 1, этаж 1, помещение II, IV	37.577380	55.812705
Магнит	Нахимовский просп., 65, Вход с двух сторон здания	37.558169	55.680103
Магнит	2-я Филёвская ул., 7, корп. 7	37.490376	55.736724
Магнит	Давыдковская ул., 8, корп. 1, помещение 1	37.474661	55.722308
Магнит	Судостроительная ул., 9, этаж 1	37.670823	55.680220
Магнит	Маломосковская ул., 31	37.653926	55.811743
Магнит	ул. Черняховского, 6, помещение 1/1	37.535870	55.804639
Магнит	Херсонская ул., 20, корп. 1, этаж 1	37.564498	55.652774
Магнит	1-й Котляковский пер., 2А, корп. 2, к. 2, помещение 9Н	37.627922	55.652111
Магнит	ул. Академика Комарова, 9, - по 8, этаж 1, помещение I, комната с 1	37.590784	55.829173
Магнит	Дмитровское ш., 29, корп. 1, корпус 1,, комнаты №№1а,1в,1г,16,17,19,20,23,24,25,26,27,28,31,3, этаж 1, помещение №I	37.572036	55.827803
Магнит	ул. Панфилова, 2, корп. 2, корп. 2	37.499782	55.799279
Магнит	Открытое ш., 2, корп. 12, помещение №II, комната 1,2,2а,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18	37.727297	55.806944
Магнит	ул. Приорова, 2А	37.532637	55.818252
Магнит	Минская ул., 13, корп. 2	37.481142	55.741125
Магнит	2-я Прогонная ул., 10, ком. Ж.2, 4, 17, 17б, 18-22, помещение I, комната 3, 2г, 5, 14, 14а, 15, 16, помещение I, помещение I, комната 1, 1а, 2а	37.708059	55.809754
Магнит	ул. Архитектора Власова, 41, стр. 1	37.545266	55.668502
Магнит	Дмитровский пр., 20, корп. 2, № 1-21, 23-25, этаж 1, комната II	37.561733	55.807189
Магнит	ул. Кухмистерова, 20, корп. 2	37.730047	55.683009
