lvl2_href	item_name	value
https://market.yandex.ru/catalog--chekhly-dlia-mobilnykh-telefonov/26893930/list?hid=91498	"Чехол для Samsung A52 / Чехол на Самсунг А52, прозрачный, ONZO
4.5
19
и 19 отзывов"	95
https://market.yandex.ru/catalog--chekhly-dlia-mobilnykh-telefonov/26893930/list?hid=91498	"Чехол накладка G-Case Carbon для Xiaomi Redmi 9A, красная
5.0
2
и 2 отзыва"	117
https://market.yandex.ru/catalog--chekhly-dlia-mobilnykh-telefonov/26893930/list?hid=91498	"Чехол накладка G-Case Slim Premium для Samsung Galaxy A8+ (2018) SM-A730F/DS черная
4.7
19
и 19 отзывов"	132
https://market.yandex.ru/catalog--chekhly-dlia-mobilnykh-telefonov/26893930/list?hid=91498	Чехол Gel Plus Case для Apple iPhone 5/5S/SE, розовый, Deppa 85225	99
https://market.yandex.ru/catalog--chekhly-dlia-mobilnykh-telefonov/26893930/list?hid=91498	"Чехол G-Case Carbon для Samsung Galaxy A32 4(G) SM-A325F, синий
5.0
13
и 13 отзывов"	136
https://market.yandex.ru/catalog--chekhly-dlia-mobilnykh-telefonov/26893930/list?hid=91498	Силиконовый чехол для Huawei Honor 9C / P40 Lite E, синий	169
https://market.yandex.ru/catalog--chekhly-dlia-mobilnykh-telefonov/26893930/list?hid=91498	"Чехол накладка G-Case Carbon для Xiaomi Redmi Note 9S / Note 9 Pro / Note 9 Pro Max, черная
4.8
43
и 43 отзыва"	192
https://market.yandex.ru/catalog--chekhly-dlia-mobilnykh-telefonov/26893930/list?hid=91498	"Чехол для смартфона Red Line для Apple iPhone iPhone 12 mini MagSafe, прозрачный
5.0
3
и 3 отзыва"	347
https://market.yandex.ru/catalog--chekhly-dlia-mobilnykh-telefonov/26893930/list?hid=91498	"Чехол книжка для Apple iPhone 12 mini, G-Case Slim Premium, черный
5.0
2
и 2 отзыва"	312
https://market.yandex.ru/catalog--chekhly-dlia-mobilnykh-telefonov/26893930/list?hid=91498	Чехол Gel Case для Apple iPhone 11 Pro, прозрачный, PET синий, Deppa, Deppa 87347	149
https://market.yandex.ru/catalog--chekhly-dlia-mobilnykh-telefonov/26893930/list?hid=91498	"Чехол накладка для Samsung Galaxy A20s SM-A207, G-Case Carbon, черная
5.0
2
и 2 отзыва"	220
https://market.yandex.ru/catalog--chekhly-dlia-mobilnykh-telefonov/26893930/list?hid=91498	"Чехол G-Case Carbon для Samsung Galaxy A52 SM-A525F, красный
4.7
25
и 25 отзывов"	184
https://market.yandex.ru/catalog--chekhly-dlia-mobilnykh-telefonov/26893930/list?hid=91498	"Чехол книжка G-Case Slim Premium для Samsung Galaxy A52 SM-A525F, черный
4.2
20
и 20 отзывов"	344
